,col_name,feature_importance_vals
424,fBodyGyro-mean()-Y,2.9624621868133545
309,"fBodyAcc-bandsEnergy()-57,64",2.9475839138031006
387,"fBodyAccJerk-bandsEnergy()-49,56",2.9392008781433105
383,"fBodyAccJerk-bandsEnergy()-17,24",2.9272208213806152
480,"fBodyGyro-bandsEnergy()-49,56.1",2.860764503479004
193,"tBodyGyroJerk-arCoeff()-Z,1",2.682201385498047
411,"fBodyAccJerk-bandsEnergy()-17,24.2",2.4618587493896484
61,tGravityAcc-iqr()-Z,2.3671536445617676
1,tBodyAcc-mean()-Y,2.312183141708374
116,"tBodyAccJerk-arCoeff()-Z,4",2.281836748123169
519,fBodyBodyAccJerkMag-min(),2.2760822772979736
14,tBodyAcc-min()-Z,2.2593741416931152
555,"angle(tBodyAccJerkMean),gravityMean)",2.2151923179626465
324,"fBodyAcc-bandsEnergy()-1,16.1",2.186774969100952
169,tBodyGyroJerk-max()-X,2.1804511547088623
381,"fBodyAccJerk-bandsEnergy()-1,8",2.163618564605713
6,tBodyAcc-mad()-X,2.132345199584961
77,"tGravityAcc-correlation()-X,Y",2.110856771469116
284,fBodyAcc-iqr()-X,2.103647232055664
511,fBodyAccMag-maxInds,2.06471848487854
430,fBodyGyro-mad()-Y,2.0308585166931152
246,tBodyGyroMag-iqr(),1.9362279176712036
108,"tBodyAccJerk-arCoeff()-X,4",1.9055873155593872
531,fBodyBodyGyroMag-max(),1.8417214155197144
94,tBodyAccJerk-min()-Z,1.8353623151779175
181,tBodyGyroJerk-iqr()-Z,1.688010334968567
249,tBodyGyroMag-arCoeff()2,1.6294530630111694
464,"fBodyGyro-bandsEnergy()-33,40",1.6082051992416382
475,"fBodyGyro-bandsEnergy()-9,16.1",1.4768879413604736
35,"tBodyAcc-arCoeff()-Z,3",1.4637978076934814
272,fBodyAcc-mad()-Y,1.41498863697052
32,"tBodyAcc-arCoeff()-Y,4",1.3864737749099731
314,"fBodyAcc-bandsEnergy()-1,24",1.3812376260757446
18,tBodyAcc-energy()-Z,1.3320863246917725
513,fBodyAccMag-skewness(),1.3189692497253418
379,fBodyAccJerk-skewness()-Z,1.2991145849227905
243,tBodyGyroMag-min(),1.2843599319458008
312,"fBodyAcc-bandsEnergy()-33,48",1.2737982273101807
419,"fBodyAccJerk-bandsEnergy()-33,48.2",1.2620714902877808
290,fBodyAcc-maxInds-X,1.2294299602508545
471,"fBodyGyro-bandsEnergy()-49,64",1.2248417139053345
352,fBodyAccJerk-mad()-Z,1.188716173171997
273,fBodyAcc-mad()-Z,1.171426773071289
339,"fBodyAcc-bandsEnergy()-17,32.2",1.159500241279602
307,"fBodyAcc-bandsEnergy()-41,48",1.139150619506836
338,"fBodyAcc-bandsEnergy()-1,16.2",1.0925004482269287
12,tBodyAcc-min()-X,1.0651345252990723
210,tBodyAccMag-arCoeff()2,1.0530617237091064
435,fBodyGyro-min()-X,1.003801941871643
482,"fBodyGyro-bandsEnergy()-1,16.1",1.0027146339416504
380,fBodyAccJerk-kurtosis()-Z,0.99113529920578
525,fBodyBodyAccJerkMag-meanFreq(),0.953805148601532
493,"fBodyGyro-bandsEnergy()-41,48.2",0.9456949234008789
376,fBodyAccJerk-kurtosis()-X,0.9279258847236633
152,"tBodyGyro-arCoeff()-Y,4",0.8911725282669067
137,tBodyGyro-energy()-Y,0.8606478571891785
154,"tBodyGyro-arCoeff()-Z,2",0.821807861328125
80,tBodyAccJerk-mean()-X,0.7422530651092529
19,tBodyAcc-iqr()-X,0.6976326704025269
334,"fBodyAcc-bandsEnergy()-33,40.2",0.6944306492805481
516,fBodyBodyAccJerkMag-std(),0.689191997051239
473,"fBodyGyro-bandsEnergy()-25,48",0.6334962844848633
423,fBodyGyro-mean()-X,0.6262498497962952
256,tBodyGyroJerkMag-min(),0.613615870475769
373,fBodyAccJerk-meanFreq()-Y,0.5504134893417358
416,"fBodyAccJerk-bandsEnergy()-57,64.2",0.5450069308280945
188,"tBodyGyroJerk-arCoeff()-X,4",0.542775571346283
494,"fBodyGyro-bandsEnergy()-49,56.2",0.5424706935882568
327,"fBodyAcc-bandsEnergy()-49,64.1",0.5347256660461426
147,"tBodyGyro-arCoeff()-X,3",0.5063575506210327
331,"fBodyAcc-bandsEnergy()-9,16.2",0.5023754835128784
286,fBodyAcc-iqr()-Z,0.4475513994693756
204,tBodyAccMag-min(),0.43103399872779846
238,tBodyAccJerkMag-arCoeff()4,0.41848617792129517
0,tBodyAcc-mean()-X,0.3792572319507599
114,"tBodyAccJerk-arCoeff()-Z,2",0.36400192975997925
552,fBodyBodyGyroJerkMag-skewness(),0.34601321816444397
8,tBodyAcc-mad()-Z,0.3132360279560089
554,"angle(tBodyAccMean,gravity)",0.31094738841056824
191,"tBodyGyroJerk-arCoeff()-Y,3",0.30667635798454285
397,"fBodyAccJerk-bandsEnergy()-17,24.1",0.26601171493530273
250,tBodyGyroMag-arCoeff()3,0.26005062460899353
541,fBodyBodyGyroJerkMag-mean(),0.2562487721443176
167,tBodyGyroJerk-mad()-Y,0.25510653853416443
405,"fBodyAccJerk-bandsEnergy()-33,48.1",0.22253850102424622
399,"fBodyAccJerk-bandsEnergy()-33,40.1",0.19890597462654114
165,tBodyGyroJerk-std()-Z,0.19600608944892883
121,tBodyGyro-mean()-Y,0.1938980668783188
